studio,type,parent_company,aliases
20th Television,Studio,Disney,"20th Century,20th TV"
3 Arts Entertainment,Production,Independent,
A24,Production,Independent,A24 Studios
ABC Signature,Studio,Disney,ABC Studios
Amazon Studios,Studio,Amazon,
Amblin Television,Production,Independent,
Anonymous Content,Production,Independent,
Bad Robot,Production,Independent,
BBC Studios,Studio,BBC,
Berlanti Productions,Production,Independent,
Blumhouse Television,Production,Independent,
CBS Television Studios,Studio,Paramount,CBS Television Studios
Chernin Entertainment,Production,Independent,
Endeavor Content,Production,Independent,
eOne,Production,Hasbro,Entertainment One
Gaumont Television,Studio,Independent,
HBO Productions,Studio,Warner Bros Discovery,HBO Original Productions
Hello Sunshine,Production,Independent,
ITV Studios,Studio,ITV,Tomorrow Studios
Legendary Television,Production,Independent,
Lionsgate Television,Studio,Lionsgate,
MGM Television,Studio,Amazon,MGM Studios
MRC,Production,Independent,Media Rights Capital
MTV Entertainment Studios,Studio,Paramount,MTV Studios
New Regency Productions,Production,Independent,
Scott Free Productions,Production,Independent,
Searchlight Television,Studio,Disney,
Showtime Networks,Studio,Paramount,
Sister Pictures,Production,Independent,
Skydance Television,Production,Independent,
Sony Pictures Television,Studio,Sony,SPT
Temple Hill Entertainment,Production,Independent,
Universal Content Productions,Studio,NBCU,UCP
Universal Television,Studio,NBCU,UTV
Warner Bros Television,Studio,Warner Bros Discovery,"WBTV,WB Television,Warner Bros. Television"
Wiip,Production,Independent,
Working Title Television,Production,NBCU,
Other,Studio,Other,
Netflix Studios,Studio,Netflix,Netflix